contract_id,content_id,studio,royalty_rate,rate_per_play,territory,start_date,end_date,tier_threshold,tier_rate,minimum_guarantees,contract_text
C0011,Movie_185,Apex Studios,0.1208,0.019,"UK,AU",2023-10-26,2026-02-12,50000,0.0161,12882.58,"DIGITAL LICENSE ROYALTY AGREEMENT: C0011
Title: Movie_185 | Studio: Apex Studios
Authorized Territories: UK, AU
Term: 2023-10-26 to 2026-02-12
Rate: $0.019 per play. 
Tiering: After 50000 plays, rate adjustments to $0.0161.
Compliance: Any distribution outside authorized regions or after expiry constitutes a breach."
C0012,Music_010,NovaPic,0.1505,0.0266,"AU,UK,IN",2023-07-15,2026-01-30,150000,0.0226,24555.5,"DIGITAL LICENSE ROYALTY AGREEMENT: C0012
Title: Music_010 | Studio: NovaPic
Authorized Territories: AU, UK, IN
Term: 2023-07-15 to 2026-01-30
Rate: $0.0266 per play. 
Tiering: After 150000 plays, rate adjustments to $0.0226.
Compliance: Any distribution outside authorized regions or after expiry constitutes a breach."
C0013,Movie_419,StellarSound,0.1308,0.0452,"JP,DE,BR,US,UK",2023-11-02,2026-04-20,50000,0.0384,8715.57,"DIGITAL LICENSE ROYALTY AGREEMENT: C0013
Title: Movie_419 | Studio: StellarSound
Authorized Territories: JP, DE, BR, US, UK
Term: 2023-11-02 to 2026-04-20
Rate: $0.0452 per play. 
Tiering: After 50000 plays, rate adjustments to $0.0384.
Compliance: Any distribution outside authorized regions or after expiry constitutes a breach."
C0014,Show_116,GridMedia,0.138,0.0364,"JP,FR,DE,BR,IN",2024-04-11,2026-01-31,75000,0.0309,12547.32,"DIGITAL LICENSE ROYALTY AGREEMENT: C0014
Title: Show_116 | Studio: GridMedia
Authorized Territories: JP, FR, DE, BR, IN
Term: 2024-04-11 to 2026-01-31
Rate: $0.0364 per play. 
Tiering: After 75000 plays, rate adjustments to $0.0309.
Compliance: Any distribution outside authorized regions or after expiry constitutes a breach."
C0015,Show_183,NeonFilms,0.167,0.0492,"BR,US,UK",2024-04-29,2027-02-13,75000,0.0418,15365.45,"DIGITAL LICENSE ROYALTY AGREEMENT: C0015
Title: Show_183 | Studio: NeonFilms
Authorized Territories: BR, US, UK
Term: 2024-04-29 to 2027-02-13
Rate: $0.0492 per play. 
Tiering: After 75000 plays, rate adjustments to $0.0418.
Compliance: Any distribution outside authorized regions or after expiry constitutes a breach."
C0016,Show_002,Apex Studios,0.1713,0.0252,"UK,JP",2023-04-13,2025-06-01,75000,0.0214,13644.89,"DIGITAL LICENSE ROYALTY AGREEMENT: C0016
Title: Show_002 | Studio: Apex Studios
Authorized Territories: UK, JP
Term: 2023-04-13 to 2025-06-01
Rate: $0.0252 per play. 
Tiering: After 75000 plays, rate adjustments to $0.0214.
Compliance: Any distribution outside authorized regions or after expiry constitutes a breach."
C0017,Show_261,NovaPic,0.09,0.0464,"UK,CA,IN,FR,JP",2024-09-30,2027-07-17,50000,0.0394,18754.99,"DIGITAL LICENSE ROYALTY AGREEMENT: C0017
Title: Show_261 | Studio: NovaPic
Authorized Territories: UK, CA, IN, FR, JP
Term: 2024-09-30 to 2027-07-17
Rate: $0.0464 per play. 
Tiering: After 50000 plays, rate adjustments to $0.0394.
Compliance: Any distribution outside authorized regions or after expiry constitutes a breach."
C0018,Movie_050,StellarSound,0.1197,0.0132,"JP,AU,BR,DE,US",2024-09-24,2025-11-18,100000,0.0112,21677.68,"DIGITAL LICENSE ROYALTY AGREEMENT: C0018
Title: Movie_050 | Studio: StellarSound
Authorized Territories: JP, AU, BR, DE, US
Term: 2024-09-24 to 2025-11-18
Rate: $0.0132 per play. 
Tiering: After 100000 plays, rate adjustments to $0.0112.
Compliance: Any distribution outside authorized regions or after expiry constitutes a breach."
C0019,Show_233,GridMedia,0.1035,0.0374,"BR,CA",2024-10-10,2027-07-27,100000,0.0318,24942.08,"DIGITAL LICENSE ROYALTY AGREEMENT: C0019
Title: Show_233 | Studio: GridMedia
Authorized Territories: BR, CA
Term: 2024-10-10 to 2027-07-27
Rate: $0.0374 per play. 
Tiering: After 100000 plays, rate adjustments to $0.0318.
Compliance: Any distribution outside authorized regions or after expiry constitutes a breach."
C0020,Movie_337,NeonFilms,0.1673,0.0277,"JP,US",2023-10-28,2025-09-17,100000,0.0235,22827.04,"DIGITAL LICENSE ROYALTY AGREEMENT: C0020
Title: Movie_337 | Studio: NeonFilms
Authorized Territories: JP, US
Term: 2023-10-28 to 2025-09-17
Rate: $0.0277 per play. 
Tiering: After 100000 plays, rate adjustments to $0.0235.
Compliance: Any distribution outside authorized regions or after expiry constitutes a breach."
C0021,Movie_451,Apex Studios,0.1175,0.0158,"UK,FR,US",2024-09-16,2026-09-06,200000,0.0134,11771.16,"DIGITAL LICENSE ROYALTY AGREEMENT: C0021
Title: Movie_451 | Studio: Apex Studios
Authorized Territories: UK, FR, US
Term: 2024-09-16 to 2026-09-06
Rate: $0.0158 per play. 
Tiering: After 200000 plays, rate adjustments to $0.0134.
Compliance: Any distribution outside authorized regions or after expiry constitutes a breach."
C0022,Show_291,NovaPic,0.142,0.0196,"DE,AU,UK,JP,US",2024-04-21,2026-01-11,200000,0.0167,5720.15,"DIGITAL LICENSE ROYALTY AGREEMENT: C0022
Title: Show_291 | Studio: NovaPic
Authorized Territories: DE, AU, UK, JP, US
Term: 2024-04-21 to 2026-01-11
Rate: $0.0196 per play. 
Tiering: After 200000 plays, rate adjustments to $0.0167.
Compliance: Any distribution outside authorized regions or after expiry constitutes a breach."
C0023,Movie_351,StellarSound,0.1478,0.0163,"BR,DE,IN,UK",2023-07-23,2025-07-12,150000,0.0139,23767.8,"DIGITAL LICENSE ROYALTY AGREEMENT: C0023
Title: Movie_351 | Studio: StellarSound
Authorized Territories: BR, DE, IN, UK
Term: 2023-07-23 to 2025-07-12
Rate: $0.0163 per play. 
Tiering: After 150000 plays, rate adjustments to $0.0139.
Compliance: Any distribution outside authorized regions or after expiry constitutes a breach."
C0024,Movie_468,GridMedia,0.1653,0.0143,"DE,US,BR,JP",2024-02-10,2025-10-02,150000,0.0122,15368.26,"DIGITAL LICENSE ROYALTY AGREEMENT: C0024
Title: Movie_468 | Studio: GridMedia
Authorized Territories: DE, US, BR, JP
Term: 2024-02-10 to 2025-10-02
Rate: $0.0143 per play. 
Tiering: After 150000 plays, rate adjustments to $0.0122.
Compliance: Any distribution outside authorized regions or after expiry constitutes a breach."
C0025,Show_123,NeonFilms,0.0808,0.0446,"DE,IN,FR,UK,CA",2024-10-13,2026-04-06,50000,0.0379,22988.88,"DIGITAL LICENSE ROYALTY AGREEMENT: C0025
Title: Show_123 | Studio: NeonFilms
Authorized Territories: DE, IN, FR, UK, CA
Term: 2024-10-13 to 2026-04-06
Rate: $0.0446 per play. 
Tiering: After 50000 plays, rate adjustments to $0.0379.
Compliance: Any distribution outside authorized regions or after expiry constitutes a breach."
C0026,Movie_477,Apex Studios,0.1421,0.0371,"DE,AU",2023-02-04,2025-07-23,75000,0.0315,16635.58,"DIGITAL LICENSE ROYALTY AGREEMENT: C0026
Title: Movie_477 | Studio: Apex Studios
Authorized Territories: DE, AU
Term: 2023-02-04 to 2025-07-23
Rate: $0.0371 per play. 
Tiering: After 75000 plays, rate adjustments to $0.0315.
Compliance: Any distribution outside authorized regions or after expiry constitutes a breach."
C0027,Show_115,NovaPic,0.1165,0.0153,"UK,IN,CA,DE,FR",2024-06-27,2026-10-15,100000,0.013,9851.18,"DIGITAL LICENSE ROYALTY AGREEMENT: C0027
Title: Show_115 | Studio: NovaPic
Authorized Territories: UK, IN, CA, DE, FR
Term: 2024-06-27 to 2026-10-15
Rate: $0.0153 per play. 
Tiering: After 100000 plays, rate adjustments to $0.013.
Compliance: Any distribution outside authorized regions or after expiry constitutes a breach."
C0028,Show_055,StellarSound,0.1713,0.0432,"DE,JP,BR,US,IN",2023-03-19,2024-07-11,100000,0.0367,23066.1,"DIGITAL LICENSE ROYALTY AGREEMENT: C0028
Title: Show_055 | Studio: StellarSound
Authorized Territories: DE, JP, BR, US, IN
Term: 2023-03-19 to 2024-07-11
Rate: $0.0432 per play. 
Tiering: After 100000 plays, rate adjustments to $0.0367.
Compliance: Any distribution outside authorized regions or after expiry constitutes a breach."
C0029,Movie_366,GridMedia,0.1554,0.019,"CA,BR,US,UK",2024-07-03,2025-09-26,150000,0.0161,24263.57,"DIGITAL LICENSE ROYALTY AGREEMENT: C0029
Title: Movie_366 | Studio: GridMedia
Authorized Territories: CA, BR, US, UK
Term: 2024-07-03 to 2025-09-26
Rate: $0.019 per play. 
Tiering: After 150000 plays, rate adjustments to $0.0161.
Compliance: Any distribution outside authorized regions or after expiry constitutes a breach."
C0030,Show_271,NeonFilms,0.1255,0.0369,"CA,IN,AU,US",2024-09-26,2027-02-13,100000,0.0314,15652.6,"DIGITAL LICENSE ROYALTY AGREEMENT: C0030
Title: Show_271 | Studio: NeonFilms
Authorized Territories: CA, IN, AU, US
Term: 2024-09-26 to 2027-02-13
Rate: $0.0369 per play. 
Tiering: After 100000 plays, rate adjustments to $0.0314.
Compliance: Any distribution outside authorized regions or after expiry constitutes a breach."
C0031,Show_131,Apex Studios,0.1128,0.0344,"DE,BR,US,CA,AU",2023-02-08,2024-10-30,50000,0.0292,16796.59,"DIGITAL LICENSE ROYALTY AGREEMENT: C0031
Title: Show_131 | Studio: Apex Studios
Authorized Territories: DE, BR, US, CA, AU
Term: 2023-02-08 to 2024-10-30
Rate: $0.0344 per play. 
Tiering: After 50000 plays, rate adjustments to $0.0292.
Compliance: Any distribution outside authorized regions or after expiry constitutes a breach."
C0032,Music_141,NovaPic,0.1796,0.0146,"BR,AU,UK",2024-11-17,2027-10-03,75000,0.0124,22463.33,"DIGITAL LICENSE ROYALTY AGREEMENT: C0032
Title: Music_141 | Studio: NovaPic
Authorized Territories: BR, AU, UK
Term: 2024-11-17 to 2027-10-03
Rate: $0.0146 per play. 
Tiering: After 75000 plays, rate adjustments to $0.0124.
Compliance: Any distribution outside authorized regions or after expiry constitutes a breach."
C0033,Show_298,StellarSound,0.1496,0.0316,"BR,CA,FR",2024-05-16,2026-12-02,200000,0.0269,19201.05,"DIGITAL LICENSE ROYALTY AGREEMENT: C0033
Title: Show_298 | Studio: StellarSound
Authorized Territories: BR, CA, FR
Term: 2024-05-16 to 2026-12-02
Rate: $0.0316 per play. 
Tiering: After 200000 plays, rate adjustments to $0.0269.
Compliance: Any distribution outside authorized regions or after expiry constitutes a breach."
C0034,Movie_497,GridMedia,0.1208,0.0481,"AU,FR,CA",2024-01-07,2025-04-01,50000,0.0409,18031.31,"DIGITAL LICENSE ROYALTY AGREEMENT: C0034
Title: Movie_497 | Studio: GridMedia
Authorized Territories: AU, FR, CA
Term: 2024-01-07 to 2025-04-01
Rate: $0.0481 per play. 
Tiering: After 50000 plays, rate adjustments to $0.0409.
Compliance: Any distribution outside authorized regions or after expiry constitutes a breach."
C0035,Music_125,NeonFilms,0.1781,0.0247,"IN,CA,BR,FR",2023-04-04,2025-12-19,100000,0.021,3862.38,"DIGITAL LICENSE ROYALTY AGREEMENT: C0035
Title: Music_125 | Studio: NeonFilms
Authorized Territories: IN, CA, BR, FR
Term: 2023-04-04 to 2025-12-19
Rate: $0.0247 per play. 
Tiering: After 100000 plays, rate adjustments to $0.021.
Compliance: Any distribution outside authorized regions or after expiry constitutes a breach."
C0036,Movie_370,Apex Studios,0.1012,0.0356,"IN,UK,BR,DE",2023-07-30,2024-09-22,50000,0.0303,3638.02,"DIGITAL LICENSE ROYALTY AGREEMENT: C0036
Title: Movie_370 | Studio: Apex Studios
Authorized Territories: IN, UK, BR, DE
Term: 2023-07-30 to 2024-09-22
Rate: $0.0356 per play. 
Tiering: After 50000 plays, rate adjustments to $0.0303.
Compliance: Any distribution outside authorized regions or after expiry constitutes a breach."
C0037,Show_097,NovaPic,0.163,0.0322,"JP,UK,BR",2024-09-02,2025-08-28,200000,0.0274,7358.91,"DIGITAL LICENSE ROYALTY AGREEMENT: C0037
Title: Show_097 | Studio: NovaPic
Authorized Territories: JP, UK, BR
Term: 2024-09-02 to 2025-08-28
Rate: $0.0322 per play. 
Tiering: After 200000 plays, rate adjustments to $0.0274.
Compliance: Any distribution outside authorized regions or after expiry constitutes a breach."
C0038,Show_221,StellarSound,0.1077,0.0494,"CA,US,FR",2023-01-16,2024-12-06,75000,0.042,14654.85,"DIGITAL LICENSE ROYALTY AGREEMENT: C0038
Title: Show_221 | Studio: StellarSound
Authorized Territories: CA, US, FR
Term: 2023-01-16 to 2024-12-06
Rate: $0.0494 per play. 
Tiering: After 75000 plays, rate adjustments to $0.042.
Compliance: Any distribution outside authorized regions or after expiry constitutes a breach."
C0039,Movie_054,GridMedia,0.159,0.0195,"US,UK,JP,IN",2024-06-22,2025-09-15,100000,0.0166,2855.07,"DIGITAL LICENSE ROYALTY AGREEMENT: C0039
Title: Movie_054 | Studio: GridMedia
Authorized Territories: US, UK, JP, IN
Term: 2024-06-22 to 2025-09-15
Rate: $0.0195 per play. 
Tiering: After 100000 plays, rate adjustments to $0.0166.
Compliance: Any distribution outside authorized regions or after expiry constitutes a breach."
C0040,Movie_427,NeonFilms,0.1546,0.029,"AU,IN",2024-09-21,2025-10-16,100000,0.0247,14047.85,"DIGITAL LICENSE ROYALTY AGREEMENT: C0040
Title: Movie_427 | Studio: NeonFilms
Authorized Territories: AU, IN
Term: 2024-09-21 to 2025-10-16
Rate: $0.029 per play. 
Tiering: After 100000 plays, rate adjustments to $0.0247.
Compliance: Any distribution outside authorized regions or after expiry constitutes a breach."
C0041,Movie_057,Apex Studios,0.1527,0.0464,"US,AU",2024-02-16,2026-03-07,200000,0.0394,9286.68,"DIGITAL LICENSE ROYALTY AGREEMENT: C0041
Title: Movie_057 | Studio: Apex Studios
Authorized Territories: US, AU
Term: 2024-02-16 to 2026-03-07
Rate: $0.0464 per play. 
Tiering: After 200000 plays, rate adjustments to $0.0394.
Compliance: Any distribution outside authorized regions or after expiry constitutes a breach."
C0042,Movie_265,NovaPic,0.1486,0.0296,"JP,UK",2023-03-09,2024-07-01,150000,0.0252,4153.54,"DIGITAL LICENSE ROYALTY AGREEMENT: C0042
Title: Movie_265 | Studio: NovaPic
Authorized Territories: JP, UK
Term: 2023-03-09 to 2024-07-01
Rate: $0.0296 per play. 
Tiering: After 150000 plays, rate adjustments to $0.0252.
Compliance: Any distribution outside authorized regions or after expiry constitutes a breach."
C0043,Show_273,StellarSound,0.1075,0.0353,"FR,DE,IN,AU,JP",2024-03-16,2025-06-09,200000,0.03,18523.44,"DIGITAL LICENSE ROYALTY AGREEMENT: C0043
Title: Show_273 | Studio: StellarSound
Authorized Territories: FR, DE, IN, AU, JP
Term: 2024-03-16 to 2025-06-09
Rate: $0.0353 per play. 
Tiering: After 200000 plays, rate adjustments to $0.03.
Compliance: Any distribution outside authorized regions or after expiry constitutes a breach."
C0044,Movie_186,GridMedia,0.1593,0.0146,"BR,AU,CA",2024-02-28,2025-12-19,200000,0.0124,18718.9,"DIGITAL LICENSE ROYALTY AGREEMENT: C0044
Title: Movie_186 | Studio: GridMedia
Authorized Territories: BR, AU, CA
Term: 2024-02-28 to 2025-12-19
Rate: $0.0146 per play. 
Tiering: After 200000 plays, rate adjustments to $0.0124.
Compliance: Any distribution outside authorized regions or after expiry constitutes a breach."
C0045,Movie_467,NeonFilms,0.1627,0.0259,"DE,JP,CA,AU",2024-04-30,2025-06-24,50000,0.022,9532.34,"DIGITAL LICENSE ROYALTY AGREEMENT: C0045
Title: Movie_467 | Studio: NeonFilms
Authorized Territories: DE, JP, CA, AU
Term: 2024-04-30 to 2025-06-24
Rate: $0.0259 per play. 
Tiering: After 50000 plays, rate adjustments to $0.022.
Compliance: Any distribution outside authorized regions or after expiry constitutes a breach."
C0046,Show_290,Apex Studios,0.0891,0.0134,"UK,US,DE,BR",2024-07-29,2026-05-20,150000,0.0114,4672.7,"DIGITAL LICENSE ROYALTY AGREEMENT: C0046
Title: Show_290 | Studio: Apex Studios
Authorized Territories: UK, US, DE, BR
Term: 2024-07-29 to 2026-05-20
Rate: $0.0134 per play. 
Tiering: After 150000 plays, rate adjustments to $0.0114.
Compliance: Any distribution outside authorized regions or after expiry constitutes a breach."
C0047,Movie_175,NovaPic,0.147,0.0264,"DE,FR",2023-12-27,2025-03-21,150000,0.0224,22032.07,"DIGITAL LICENSE ROYALTY AGREEMENT: C0047
Title: Movie_175 | Studio: NovaPic
Authorized Territories: DE, FR
Term: 2023-12-27 to 2025-03-21
Rate: $0.0264 per play. 
Tiering: After 150000 plays, rate adjustments to $0.0224.
Compliance: Any distribution outside authorized regions or after expiry constitutes a breach."
C0048,Movie_151,StellarSound,0.1378,0.0185,"JP,FR",2023-04-28,2026-04-12,150000,0.0157,7545.51,"DIGITAL LICENSE ROYALTY AGREEMENT: C0048
Title: Movie_151 | Studio: StellarSound
Authorized Territories: JP, FR
Term: 2023-04-28 to 2026-04-12
Rate: $0.0185 per play. 
Tiering: After 150000 plays, rate adjustments to $0.0157.
Compliance: Any distribution outside authorized regions or after expiry constitutes a breach."
C0049,Show_242,GridMedia,0.1079,0.019,"DE,US",2023-07-04,2025-02-23,150000,0.0161,21515.99,"DIGITAL LICENSE ROYALTY AGREEMENT: C0049
Title: Show_242 | Studio: GridMedia
Authorized Territories: DE, US
Term: 2023-07-04 to 2025-02-23
Rate: $0.019 per play. 
Tiering: After 150000 plays, rate adjustments to $0.0161.
Compliance: Any distribution outside authorized regions or after expiry constitutes a breach."
C0050,Movie_114,NeonFilms,0.1503,0.0224,"UK,BR,US",2023-05-26,2026-04-10,100000,0.019,10398.03,"DIGITAL LICENSE ROYALTY AGREEMENT: C0050
Title: Movie_114 | Studio: NeonFilms
Authorized Territories: UK, BR, US
Term: 2023-05-26 to 2026-04-10
Rate: $0.0224 per play. 
Tiering: After 100000 plays, rate adjustments to $0.019.
Compliance: Any distribution outside authorized regions or after expiry constitutes a breach."
C0051,Movie_429,Apex Studios,0.1433,0.0112,"AU,JP,CA,UK,FR",2023-11-29,2026-11-13,200000,0.0095,7340.49,"DIGITAL LICENSE ROYALTY AGREEMENT: C0051
Title: Movie_429 | Studio: Apex Studios
Authorized Territories: AU, JP, CA, UK, FR
Term: 2023-11-29 to 2026-11-13
Rate: $0.0112 per play. 
Tiering: After 200000 plays, rate adjustments to $0.0095.
Compliance: Any distribution outside authorized regions or after expiry constitutes a breach."
C0052,Music_166,NovaPic,0.1741,0.0338,"CA,DE",2024-03-29,2026-12-14,50000,0.0287,6000.55,"DIGITAL LICENSE ROYALTY AGREEMENT: C0052
Title: Music_166 | Studio: NovaPic
Authorized Territories: CA, DE
Term: 2024-03-29 to 2026-12-14
Rate: $0.0338 per play. 
Tiering: After 50000 plays, rate adjustments to $0.0287.
Compliance: Any distribution outside authorized regions or after expiry constitutes a breach."
C0053,Movie_019,StellarSound,0.1224,0.0343,"JP,BR",2023-04-24,2025-01-13,150000,0.0292,8646.25,"DIGITAL LICENSE ROYALTY AGREEMENT: C0053
Title: Movie_019 | Studio: StellarSound
Authorized Territories: JP, BR
Term: 2023-04-24 to 2025-01-13
Rate: $0.0343 per play. 
Tiering: After 150000 plays, rate adjustments to $0.0292.
Compliance: Any distribution outside authorized regions or after expiry constitutes a breach."
C0054,Movie_190,GridMedia,0.1478,0.0337,"IN,BR",2024-09-05,2025-09-30,200000,0.0286,17510.48,"DIGITAL LICENSE ROYALTY AGREEMENT: C0054
Title: Movie_190 | Studio: GridMedia
Authorized Territories: IN, BR
Term: 2024-09-05 to 2025-09-30
Rate: $0.0337 per play. 
Tiering: After 200000 plays, rate adjustments to $0.0286.
Compliance: Any distribution outside authorized regions or after expiry constitutes a breach."
C0055,Movie_415,NeonFilms,0.0808,0.0221,"DE,JP,US,BR",2024-05-24,2027-04-09,75000,0.0188,19765.36,"DIGITAL LICENSE ROYALTY AGREEMENT: C0055
Title: Movie_415 | Studio: NeonFilms
Authorized Territories: DE, JP, US, BR
Term: 2024-05-24 to 2027-04-09
Rate: $0.0221 per play. 
Tiering: After 75000 plays, rate adjustments to $0.0188.
Compliance: Any distribution outside authorized regions or after expiry constitutes a breach."
C0056,Show_090,Apex Studios,0.1231,0.0152,"CA,BR,AU,JP",2023-02-13,2025-03-04,200000,0.0129,18332.6,"DIGITAL LICENSE ROYALTY AGREEMENT: C0056
Title: Show_090 | Studio: Apex Studios
Authorized Territories: CA, BR, AU, JP
Term: 2023-02-13 to 2025-03-04
Rate: $0.0152 per play. 
Tiering: After 200000 plays, rate adjustments to $0.0129.
Compliance: Any distribution outside authorized regions or after expiry constitutes a breach."
C0057,Show_167,NovaPic,0.0819,0.0468,"BR,DE,US,IN,FR",2023-11-29,2025-04-22,100000,0.0398,15454.58,"DIGITAL LICENSE ROYALTY AGREEMENT: C0057
Title: Show_167 | Studio: NovaPic
Authorized Territories: BR, DE, US, IN, FR
Term: 2023-11-29 to 2025-04-22
Rate: $0.0468 per play. 
Tiering: After 100000 plays, rate adjustments to $0.0398.
Compliance: Any distribution outside authorized regions or after expiry constitutes a breach."
C0058,Show_264,StellarSound,0.1601,0.0347,"IN,BR",2024-08-26,2026-08-16,100000,0.0295,4482.92,"DIGITAL LICENSE ROYALTY AGREEMENT: C0058
Title: Show_264 | Studio: StellarSound
Authorized Territories: IN, BR
Term: 2024-08-26 to 2026-08-16
Rate: $0.0347 per play. 
Tiering: After 100000 plays, rate adjustments to $0.0295.
Compliance: Any distribution outside authorized regions or after expiry constitutes a breach."
C0059,Movie_222,GridMedia,0.1324,0.0258,"JP,UK,US",2024-06-06,2027-01-22,100000,0.0219,19280.61,"DIGITAL LICENSE ROYALTY AGREEMENT: C0059
Title: Movie_222 | Studio: GridMedia
Authorized Territories: JP, UK, US
Term: 2024-06-06 to 2027-01-22
Rate: $0.0258 per play. 
Tiering: After 100000 plays, rate adjustments to $0.0219.
Compliance: Any distribution outside authorized regions or after expiry constitutes a breach."
C0060,Show_087,NeonFilms,0.0914,0.0304,"IN,CA,AU",2023-09-20,2025-03-13,100000,0.0258,10399.74,"DIGITAL LICENSE ROYALTY AGREEMENT: C0060
Title: Show_087 | Studio: NeonFilms
Authorized Territories: IN, CA, AU
Term: 2023-09-20 to 2025-03-13
Rate: $0.0304 per play. 
Tiering: After 100000 plays, rate adjustments to $0.0258.
Compliance: Any distribution outside authorized regions or after expiry constitutes a breach."
C0061,Show_082,Apex Studios,0.0973,0.0161,"AU,FR,JP,DE,BR",2023-11-27,2026-07-14,50000,0.0137,6485.79,"DIGITAL LICENSE ROYALTY AGREEMENT: C0061
Title: Show_082 | Studio: Apex Studios
Authorized Territories: AU, FR, JP, DE, BR
Term: 2023-11-27 to 2026-07-14
Rate: $0.0161 per play. 
Tiering: After 50000 plays, rate adjustments to $0.0137.
Compliance: Any distribution outside authorized regions or after expiry constitutes a breach."
